mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 511,+1, 4588, 5319,511.86895,    NaN,563.39973,    NaN,    NaN, 0.23202
 511,+1, 4603, 5319,511.87187,    NaN,563.47219,    NaN,    NaN, 0.36581
 511,+1, 4619, 5319,511.87478,    NaN,563.50453,    NaN,    NaN, 0.31009
 511,+1, 4634, 5319,511.87769,    NaN,563.50003,    NaN,    NaN,-0.27879
 511,+1, 4650, 5319,511.88061,    NaN,563.56926,    NaN,    NaN,-0.30054
 511,+1, 4665, 5319,511.88352,    NaN,563.61125,    NaN,    NaN, 0.21203
 511,+1, 4681, 5319,511.88644,    NaN,563.61801,    NaN,    NaN,-0.35170
 511,+1, 4696, 5319,511.88935,    NaN,563.65210,    NaN,    NaN,-0.18196
 511,+1, 4712, 5319,511.89227,    NaN,563.67163,    NaN,    NaN, 0.34847
 511,+1, 4727, 5319,511.89518,    NaN,563.66567,    NaN,    NaN,-0.05216
