PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5522_C,38.41884821,-82.35240024,458.708,13953888.92,1253078.809,560.283
5523_C,38.41884612,-82.35242355,458.712,13953888.26,1253072.121,560.287
5524_C,38.41884347,-82.35245127,458.745,13953887.41,1253064.17,560.319
5525_C,38.4188415,-82.3524737,458.686,13953886.79,1253057.734,560.26
5526_C,38.41883968,-82.35249407,458.701,13953886.21,1253051.888,560.275
5527_C,38.41883802,-82.35251238,458.721,13953885.69,1253046.638,560.295
5528_C,38.41883582,-82.35253636,458.667,13953884.98,1253039.755,560.241
5529_C,38.4188339,-82.35255704,458.7,13953884.37,1253033.822,560.274
5530_C,38.41883229,-82.35257484,458.688,13953883.86,1253028.716,560.262
5531_C,38.41883056,-82.35259403,458.659,13953883.31,1253023.212,560.233
5532_C,38.41882865,-82.35261413,458.738,13953882.7,1253017.443,560.312
5533_C,38.418827,-82.35263212,458.716,13953882.18,1253012.281,560.289
5534_C,38.41882501,-82.35265315,458.725,13953881.54,1253006.249,560.299
5535_C,38.41882337,-82.35267101,458.71,13953881.02,1253001.123,560.283
5536_C,38.4188212,-82.35269503,458.733,13953880.33,1252994.232,560.307
5537_C,38.41881945,-82.35271395,458.734,13953879.77,1252988.804,560.308
5538_C,38.41881751,-82.35273508,458.732,13953879.15,1252982.741,560.306
5539_C,38.41881545,-82.35275787,458.694,13953878.5,1252976.204,560.268
5540_C,38.4188132,-82.35278197,458.711,13953877.78,1252969.286,560.284
5541_C,38.41881091,-82.35280688,458.723,13953877.05,1252962.14,560.296
5542_C,38.4188085,-82.3528326,458.715,13953876.28,1252954.762,560.289
5543_C,38.41880602,-82.35285868,458.72,13953875.49,1252947.278,560.294
5544_C,38.41880365,-82.35288475,458.699,13953874.74,1252939.799,560.272
5545_C,38.41880127,-82.35291078,458.743,13953873.98,1252932.33,560.317
5546_C,38.41879888,-82.35293659,458.738,13953873.22,1252924.926,560.311
5547_C,38.41879658,-82.35296219,458.772,13953872.49,1252917.579,560.345
5548_C,38.41879427,-82.3529875,458.772,13953871.76,1252910.318,560.345
5549_C,38.41879199,-82.35301263,458.769,13953871.03,1252903.109,560.342
5550_C,38.41878971,-82.35303758,458.817,13953870.31,1252895.949,560.39
5551_C,38.41878737,-82.35306226,458.78,13953869.56,1252888.87,560.353
5552_C,38.41878524,-82.35308676,458.778,13953868.89,1252881.841,560.351
5553_C,38.4187831,-82.35311112,458.794,13953868.21,1252874.852,560.367
5554_C,38.41878051,-82.3531354,458.852,13953867.37,1252867.884,560.425
5555_C,38.41877847,-82.3531595,458.913,13953866.72,1252860.971,560.485
5556_C,38.41877614,-82.35318331,458.894,13953865.98,1252854.136,560.467
