Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1132,RailT2,+38.412798906,-82.291704959,479.589,13951440.030,1270431.218,581.270,6.995,11:06:27 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1133,RailT2,+38.412809294,-82.291717519,479.588,13951443.862,1270427.673,581.269,6.995,11:06:29 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1134,RailT2,+38.412820145,-82.291730586,479.542,13951447.865,1270423.986,581.223,6.995,11:06:30 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1135,RailT2,+38.412831908,-82.291744632,479.578,13951452.203,1270420.022,581.259,6.995,11:06:31 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1136,RailT2,+38.412842974,-82.291757760,479.526,13951456.285,1270416.318,581.207,6.995,11:06:32 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1137,RailT2,+38.412853107,-82.291769753,479.440,13951460.022,1270412.935,581.121,6.995,11:06:34 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1138,RailT2,+38.412864038,-82.291782648,479.478,13951464.053,1270409.297,581.159,6.995,11:06:35 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1139,RailT2,+38.412875761,-82.291796343,479.481,13951468.376,1270405.434,581.162,6.995,11:06:36 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1140,RailT2,+38.412886090,-82.291808474,479.448,13951472.185,1270402.011,581.129,6.995,11:06:38 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1141,RailT2,+38.412896596,-82.291820775,479.504,13951476.059,1270398.542,581.185,6.995,11:06:39 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1142,RailT2,+38.412907142,-82.291833155,479.413,13951479.949,1270395.049,581.095,6.995,11:06:40 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1143,RailT2,+38.412918586,-82.291846410,479.415,13951484.168,1270391.311,581.096,6.995,11:06:41 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1144,RailT2,+38.412929163,-82.291858740,479.373,13951488.068,1270387.833,581.054,6.995,11:06:43 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1145,RailT2,+38.412939582,-82.291870517,479.341,13951491.909,1270384.513,581.022,6.995,11:06:45 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
